trackname,artistname,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,duration_min,msplayed_min,major_genre,danceability_norm,energy_norm,speechiness_norm,acousticness_norm,instrumentalness_norm,valence_norm,tempo_norm,loudness_norm
Love Sick,Trippie Redd,melodic rap,0.861,0.712,6.0,-6.72,0.0,0.104,0.527,0.0,0.622,0.687,119.042,audio_features,2PRKaIkl62537yLUt8VhHR,spotify:track:2PRKaIkl62537yLUt8VhHR,https://api.spotify.com/v1/tracks/2PRKaIkl62537yLUt8VhHR,https://api.spotify.com/v1/audio-analysis/2PRKaIkl62537yLUt8VhHR,4.0,2.966,2.966,Hip-Hop/Rap,0.882,0.712,0.108,0.529,0.0,0.697,0.504,0.784
Love Somebody,Lauv,pop,0.511,0.467,7.0,-7.799,1.0,0.144,0.263,0.0,0.064,0.373,78.173,audio_features,2IzUjVfO3UrAY73UjHHsGi,spotify:track:2IzUjVfO3UrAY73UjHHsGi,https://api.spotify.com/v1/tracks/2IzUjVfO3UrAY73UjHHsGi,https://api.spotify.com/v1/audio-analysis/2IzUjVfO3UrAY73UjHHsGi,1.0,2.38,7.134,Pop,0.524,0.467,0.149,0.264,0.0,0.378,0.331,0.76
Love Story,Disco Lines,stutter house,0.669,0.634,2.0,-4.3,1.0,0.032,0.068,0.0,0.06,0.276,127.915,audio_features,2duyHVCqcaX2FSwjzuZijF,spotify:track:2duyHVCqcaX2FSwjzuZijF,https://api.spotify.com/v1/tracks/2duyHVCqcaX2FSwjzuZijF,https://api.spotify.com/v1/audio-analysis/2duyHVCqcaX2FSwjzuZijF,4.0,3.716,29.757,EDM,0.685,0.634,0.033,0.069,0.0,0.28,0.542,0.838
Love Sucks,Annika Wells,la pop,0.576,0.403,3.0,-8.849,0.0,0.08,0.68,0.0,0.527,0.279,139.15,audio_features,1aXOa3ExoCzxnSxCGkREiv,spotify:track:1aXOa3ExoCzxnSxCGkREiv,https://api.spotify.com/v1/tracks/1aXOa3ExoCzxnSxCGkREiv,https://api.spotify.com/v1/audio-analysis/1aXOa3ExoCzxnSxCGkREiv,4.0,2.576,36.303,Pop,0.59,0.403,0.083,0.683,0.0,0.283,0.589,0.737
Love To Go,Lost Frequencies,belgian edm,0.755,0.783,11.0,-6.256,1.0,0.176,0.605,0.007,0.203,0.419,104.022,audio_features,14d79QOV2pvJHH9vlUfZwJ,spotify:track:14d79QOV2pvJHH9vlUfZwJ,https://api.spotify.com/v1/tracks/14d79QOV2pvJHH9vlUfZwJ,https://api.spotify.com/v1/audio-analysis/14d79QOV2pvJHH9vlUfZwJ,4.0,2.823,39.942,EDM,0.774,0.784,0.182,0.607,0.007,0.425,0.44,0.794
Love You Goodbye,One Direction,boy band,0.546,0.657,1.0,-4.787,1.0,0.033,0.093,0.0,0.119,0.361,133.188,audio_features,1ZWLWVqeEMWMKTlteS0yLH,spotify:track:1ZWLWVqeEMWMKTlteS0yLH,https://api.spotify.com/v1/tracks/1ZWLWVqeEMWMKTlteS0yLH,https://api.spotify.com/v1/audio-analysis/1ZWLWVqeEMWMKTlteS0yLH,4.0,3.282,0.643,Pop,0.559,0.657,0.034,0.093,0.0,0.366,0.564,0.827
Love You Like A Love Song,Selena Gomez & The Scene,pop,0.858,0.678,1.0,-3.87,0.0,0.047,0.076,0.0,0.074,0.922,117.009,audio_features,0laYHRpNTS6i8FXdupHkJ4,spotify:track:0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/tracks/0laYHRpNTS6i8FXdupHkJ4,https://api.spotify.com/v1/audio-analysis/0laYHRpNTS6i8FXdupHkJ4,4.0,3.141,3.141,Pop,0.879,0.678,0.049,0.076,0.0,0.935,0.495,0.847
Love You Still (abcdefu romantic version),Tyler Shaw,pop quebecois,0.712,0.078,4.0,-19.067,1.0,0.054,0.739,0.0,0.107,0.642,121.443,audio_features,31fMJwgrgNdk1IbWZEchX2,spotify:track:31fMJwgrgNdk1IbWZEchX2,https://api.spotify.com/v1/tracks/31fMJwgrgNdk1IbWZEchX2,https://api.spotify.com/v1/audio-analysis/31fMJwgrgNdk1IbWZEchX2,4.0,2.503,55.664,Pop,0.73,0.077,0.056,0.742,0.0,0.651,0.514,0.51
Love is Pain,FINNEAS,alt z,0.609,0.141,9.0,-15.33,1.0,0.039,0.927,0.0,0.092,0.107,78.233,audio_features,2tJUcBxiQEYSCzC3BdIOk8,spotify:track:2tJUcBxiQEYSCzC3BdIOk8,https://api.spotify.com/v1/tracks/2tJUcBxiQEYSCzC3BdIOk8,https://api.spotify.com/v1/audio-analysis/2tJUcBxiQEYSCzC3BdIOk8,4.0,3.738,11.214,Pop,0.624,0.14,0.041,0.931,0.0,0.109,0.331,0.593
Loves a Stranger,Warhaus,belgian indie,0.564,0.585,9.0,-8.823,0.0,0.038,0.202,0.002,0.118,0.624,161.667,audio_features,279LczresTWVkCsdLwgJSZ,spotify:track:279LczresTWVkCsdLwgJSZ,https://api.spotify.com/v1/tracks/279LczresTWVkCsdLwgJSZ,https://api.spotify.com/v1/audio-analysis/279LczresTWVkCsdLwgJSZ,4.0,3.445,3.445,Other,0.578,0.585,0.039,0.203,0.002,0.633,0.684,0.737
Lover,Diljit Dosanjh,filmi,0.827,0.587,9.0,-5.531,0.0,0.113,0.203,0.0,0.073,0.774,119.936,audio_features,0XwRlvv3KlOu4HWlOH34XG,spotify:track:0XwRlvv3KlOu4HWlOH34XG,https://api.spotify.com/v1/tracks/0XwRlvv3KlOu4HWlOH34XG,https://api.spotify.com/v1/audio-analysis/0XwRlvv3KlOu4HWlOH34XG,4.0,3.167,47.679,Bollywood/Indian,0.847,0.587,0.117,0.204,0.0,0.785,0.508,0.81
"Lover, Please Stay",Nothing But Thieves,alternative pop rock,0.269,0.122,1.0,-10.408,1.0,0.033,0.952,0.0,0.092,0.118,83.967,audio_features,3QxCvkqWdkMqy3CPxOhZ24,spotify:track:3QxCvkqWdkMqy3CPxOhZ24,https://api.spotify.com/v1/tracks/3QxCvkqWdkMqy3CPxOhZ24,https://api.spotify.com/v1/audio-analysis/3QxCvkqWdkMqy3CPxOhZ24,4.0,4.12,23.927,Pop,0.276,0.121,0.035,0.956,0.0,0.12,0.355,0.702
Loverboy,A-Wall,bedroom pop,0.604,0.466,0.0,-10.093,1.0,0.032,0.649,0.033,0.093,0.499,120.045,audio_features,0qXP5fMhxGzxALOkXYUxfP,spotify:track:0qXP5fMhxGzxALOkXYUxfP,https://api.spotify.com/v1/tracks/0qXP5fMhxGzxALOkXYUxfP,https://api.spotify.com/v1/audio-analysis/0qXP5fMhxGzxALOkXYUxfP,4.0,3.742,5.638,Pop,0.619,0.466,0.033,0.652,0.034,0.506,0.508,0.709
Loverboy - San Holo Version,A-Wall,bedroom pop,0.636,0.704,0.0,-6.827,1.0,0.06,0.184,0.0,0.138,0.478,121.078,audio_features,6T7RlwsNCmCvyYLOvqzpGW,spotify:track:6T7RlwsNCmCvyYLOvqzpGW,https://api.spotify.com/v1/tracks/6T7RlwsNCmCvyYLOvqzpGW,https://api.spotify.com/v1/audio-analysis/6T7RlwsNCmCvyYLOvqzpGW,4.0,3.289,0.461,Pop,0.652,0.704,0.062,0.185,0.0,0.485,0.513,0.782
Lovers Do,The Brummies,alabama indie,0.548,0.372,7.0,-8.598,1.0,0.03,0.588,0.006,0.347,0.304,149.712,audio_features,2gdwaznV8yFi6jGk6rgMDh,spotify:track:2gdwaznV8yFi6jGk6rgMDh,https://api.spotify.com/v1/tracks/2gdwaznV8yFi6jGk6rgMDh,https://api.spotify.com/v1/audio-analysis/2gdwaznV8yFi6jGk6rgMDh,4.0,3.18,41.266,Other,0.561,0.372,0.032,0.59,0.006,0.308,0.634,0.742
Lovers In The Night,Seori,korean r&b,0.776,0.785,9.0,-4.085,0.0,0.058,0.295,0.001,0.169,0.5,98.036,audio_features,2dX2W20qzwqM6G910woDKo,spotify:track:2dX2W20qzwqM6G910woDKo,https://api.spotify.com/v1/tracks/2dX2W20qzwqM6G910woDKo,https://api.spotify.com/v1/audio-analysis/2dX2W20qzwqM6G910woDKo,4.0,3.509,44.361,R&B/Soul,0.795,0.786,0.06,0.296,0.001,0.507,0.415,0.843
Lovin Every Minute,AREA21,Unknown,0.718,0.574,1.0,-7.312,0.0,0.09,0.17,0.0,0.126,0.673,129.974,audio_features,03wMGPA6NlFsEqitZcuaG2,spotify:track:03wMGPA6NlFsEqitZcuaG2,https://api.spotify.com/v1/tracks/03wMGPA6NlFsEqitZcuaG2,https://api.spotify.com/v1/audio-analysis/03wMGPA6NlFsEqitZcuaG2,4.0,2.709,36.812,Unknown,0.736,0.574,0.093,0.171,0.0,0.683,0.55,0.771
"Loving, Loving",Vera Sola,alternative americana,0.395,0.324,11.0,-12.52,0.0,0.041,0.864,0.075,0.105,0.059,121.095,audio_features,74PqdCEXhh29g5a8UGIez8,spotify:track:74PqdCEXhh29g5a8UGIez8,https://api.spotify.com/v1/tracks/74PqdCEXhh29g5a8UGIez8,https://api.spotify.com/v1/audio-analysis/74PqdCEXhh29g5a8UGIez8,4.0,3.341,12.758,Rock/Metal,0.405,0.324,0.042,0.867,0.075,0.06,0.513,0.655
Low,Lund,cloud rap,0.745,0.438,4.0,-7.018,0.0,0.033,0.678,0.112,0.125,0.041,119.99,audio_features,5RLDbZPiqULNl4cr17eoIV,spotify:track:5RLDbZPiqULNl4cr17eoIV,https://api.spotify.com/v1/tracks/5RLDbZPiqULNl4cr17eoIV,https://api.spotify.com/v1/audio-analysis/5RLDbZPiqULNl4cr17eoIV,4.0,3.899,29.967,Hip-Hop/Rap,0.763,0.438,0.034,0.681,0.113,0.041,0.508,0.777
Low (feat. T-Pain),Flo Rida,dance pop,0.918,0.609,10.0,-5.64,0.0,0.079,0.093,0.0,0.139,0.304,128.008,audio_features,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,4.0,3.857,3.856,Pop,0.941,0.609,0.082,0.093,0.0,0.308,0.542,0.808
Luar,"colours in the dark,Beatmund Noise",lo-fi sleep,0.628,0.197,8.0,-17.944,0.0,0.037,0.942,0.88,0.08,0.201,139.865,audio_features,5DoH4vaCLMyV2bem2k326P,spotify:track:5DoH4vaCLMyV2bem2k326P,https://api.spotify.com/v1/tracks/5DoH4vaCLMyV2bem2k326P,https://api.spotify.com/v1/audio-analysis/5DoH4vaCLMyV2bem2k326P,4.0,2.286,6.857,Lo-Fi/Chill,0.643,0.196,0.038,0.946,0.886,0.204,0.592,0.535
Lucky,Jason Mraz,acoustic pop,0.625,0.414,0.0,-8.7,1.0,0.037,0.294,0.0,0.151,0.669,130.088,audio_features,0IktbUcnAGrvD03AWnz3Q8,spotify:track:0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8,4.0,3.16,119.27,Pop,0.64,0.414,0.038,0.295,0.0,0.678,0.551,0.74
Lucky,Radiohead,alternative rock,0.213,0.4,11.0,-9.813,0.0,0.032,0.053,0.612,0.111,0.195,133.369,audio_features,14xj58ZexBaEaHARb11Cqs,spotify:track:14xj58ZexBaEaHARb11Cqs,https://api.spotify.com/v1/tracks/14xj58ZexBaEaHARb11Cqs,https://api.spotify.com/v1/audio-analysis/14xj58ZexBaEaHARb11Cqs,4.0,4.314,0.44,Rock/Metal,0.218,0.4,0.034,0.053,0.616,0.198,0.565,0.715
Lucky You (feat. Joyner Lucas),Eminem,detroit hip hop,0.876,0.786,10.0,-4.884,0.0,0.306,0.063,0.0,0.127,0.575,153.068,audio_features,60SdxE8apGAxMiRrpbmLY0,spotify:track:60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0,4.0,4.078,4.075,Hip-Hop/Rap,0.898,0.787,0.317,0.063,0.0,0.583,0.648,0.825
Lucy,Still Woozy,bedroom pop,0.647,0.537,6.0,-12.006,0.0,0.21,0.43,0.0,0.119,0.846,84.46,audio_features,5RxpYHVbGJPOvSEATQyg9P,spotify:track:5RxpYHVbGJPOvSEATQyg9P,https://api.spotify.com/v1/tracks/5RxpYHVbGJPOvSEATQyg9P,https://api.spotify.com/v1/audio-analysis/5RxpYHVbGJPOvSEATQyg9P,4.0,2.375,2.371,Pop,0.663,0.537,0.217,0.432,0.0,0.858,0.358,0.667
Ludens,Bring Me The Horizon,melodic metalcore,0.294,0.679,8.0,-6.182,1.0,0.152,0.001,0.0,0.165,0.383,198.03,audio_features,4xWirulal0kGikFE3WSU75,spotify:track:4xWirulal0kGikFE3WSU75,https://api.spotify.com/v1/tracks/4xWirulal0kGikFE3WSU75,https://api.spotify.com/v1/audio-analysis/4xWirulal0kGikFE3WSU75,3.0,4.669,9.468,Rock/Metal,0.301,0.679,0.157,0.001,0.0,0.388,0.838,0.796
Lullabies,Dimension 32,lo-fi sleep,0.66,0.105,4.0,-20.191,1.0,0.032,0.982,0.924,0.08,0.069,75.022,audio_features,6awI76zlVfh9xM4YBEnxnt,spotify:track:6awI76zlVfh9xM4YBEnxnt,https://api.spotify.com/v1/tracks/6awI76zlVfh9xM4YBEnxnt,https://api.spotify.com/v1/audio-analysis/6awI76zlVfh9xM4YBEnxnt,4.0,2.652,132.46,Lo-Fi/Chill,0.676,0.104,0.033,0.986,0.931,0.07,0.318,0.485
Lullaby,Bcalm,focus beats,0.696,0.159,3.0,-13.969,1.0,0.042,0.918,0.906,0.2,0.161,120.016,audio_features,2MQ5oY4ZoJugYsTNEk1Gjb,spotify:track:2MQ5oY4ZoJugYsTNEk1Gjb,https://api.spotify.com/v1/tracks/2MQ5oY4ZoJugYsTNEk1Gjb,https://api.spotify.com/v1/audio-analysis/2MQ5oY4ZoJugYsTNEk1Gjb,4.0,2.292,4.583,Lo-Fi/Chill,0.713,0.158,0.044,0.922,0.912,0.163,0.508,0.623
Luna,Tenno,japanese chillhop,0.395,0.379,9.0,-13.785,0.0,0.192,0.936,0.977,0.344,0.038,207.841,audio_features,5FMeLrcoOH6iwTS5QD7aLR,spotify:track:5FMeLrcoOH6iwTS5QD7aLR,https://api.spotify.com/v1/tracks/5FMeLrcoOH6iwTS5QD7aLR,https://api.spotify.com/v1/audio-analysis/5FMeLrcoOH6iwTS5QD7aLR,3.0,2.577,2.577,Lo-Fi/Chill,0.405,0.379,0.199,0.94,0.984,0.038,0.88,0.627
Lunar Phase,Atlis,Unknown,0.56,0.134,7.0,-21.288,0.0,0.034,0.974,0.921,0.127,0.039,101.993,audio_features,2ALjttxAgqYgeTQyjg17k7,spotify:track:2ALjttxAgqYgeTQyjg17k7,https://api.spotify.com/v1/tracks/2ALjttxAgqYgeTQyjg17k7,https://api.spotify.com/v1/audio-analysis/2ALjttxAgqYgeTQyjg17k7,4.0,1.912,3.824,Unknown,0.574,0.133,0.035,0.978,0.927,0.04,0.432,0.461
Lunatic,UPSAHL,alt z,0.716,0.703,9.0,-4.997,0.0,0.076,0.218,0.0,0.093,0.846,124.099,audio_features,2uodDdo4jqShIEAFy8yuIY,spotify:track:2uodDdo4jqShIEAFy8yuIY,https://api.spotify.com/v1/tracks/2uodDdo4jqShIEAFy8yuIY,https://api.spotify.com/v1/audio-analysis/2uodDdo4jqShIEAFy8yuIY,4.0,2.354,18.864,Pop,0.734,0.703,0.079,0.219,0.0,0.858,0.525,0.822
Lungi Dance,Yo Yo Honey Singh,filmi,0.684,0.958,1.0,-4.793,1.0,0.264,0.314,0.0,0.618,0.817,163.95,audio_features,3VXh3jYTW3lTxtXRnu2TKP,spotify:track:3VXh3jYTW3lTxtXRnu2TKP,https://api.spotify.com/v1/tracks/3VXh3jYTW3lTxtXRnu2TKP,https://api.spotify.com/v1/audio-analysis/3VXh3jYTW3lTxtXRnu2TKP,4.0,4.59,4.587,Bollywood/Indian,0.701,0.959,0.273,0.315,0.0,0.829,0.694,0.827
Lungs,Yoste,chill pop,0.548,0.492,6.0,-7.813,1.0,0.072,0.512,0.0,0.108,0.589,78.786,audio_features,12i8BdLiiYBLLoKijja3O6,spotify:track:12i8BdLiiYBLLoKijja3O6,https://api.spotify.com/v1/tracks/12i8BdLiiYBLLoKijja3O6,https://api.spotify.com/v1/audio-analysis/12i8BdLiiYBLLoKijja3O6,4.0,3.18,2.152,Pop,0.561,0.492,0.075,0.514,0.0,0.597,0.334,0.76
MAKE A MESS,blackbear,pop,0.823,0.455,11.0,-7.839,0.0,0.047,0.002,0.0,0.056,0.723,126.96,audio_features,6OOTj2UtduuvtiL4X4MZDF,spotify:track:6OOTj2UtduuvtiL4X4MZDF,https://api.spotify.com/v1/tracks/6OOTj2UtduuvtiL4X4MZDF,https://api.spotify.com/v1/audio-analysis/6OOTj2UtduuvtiL4X4MZDF,4.0,2.662,2.66,Pop,0.843,0.455,0.048,0.002,0.0,0.733,0.538,0.759
MAKE YOU SCREAM,Phonked,Unknown,0.689,0.727,8.0,-7.344,1.0,0.036,0.096,0.783,0.061,0.428,129.974,audio_features,4kEeqEmNFaW3iS3Tehg7Q3,spotify:track:4kEeqEmNFaW3iS3Tehg7Q3,https://api.spotify.com/v1/tracks/4kEeqEmNFaW3iS3Tehg7Q3,https://api.spotify.com/v1/audio-analysis/4kEeqEmNFaW3iS3Tehg7Q3,4.0,2.777,2.099,Unknown,0.706,0.727,0.038,0.096,0.789,0.434,0.55,0.77
ME BECAUSE OF YOU,HRVY,pop,0.653,0.866,10.0,-4.898,1.0,0.055,0.08,0.0,0.17,0.644,121.972,audio_features,6BQcggOEF7ASntQACEdT2L,spotify:track:6BQcggOEF7ASntQACEdT2L,https://api.spotify.com/v1/tracks/6BQcggOEF7ASntQACEdT2L,https://api.spotify.com/v1/audio-analysis/6BQcggOEF7ASntQACEdT2L,4.0,2.885,72.05,Pop,0.669,0.867,0.057,0.08,0.0,0.653,0.516,0.824
ME MYSELF & I,Kid Trunks,asian american hip hop,0.581,0.385,9.0,-9.758,1.0,0.036,0.174,0.0,0.122,0.176,130.06,audio_features,15DW6TwIlbl9IVfEJfE0mQ,spotify:track:15DW6TwIlbl9IVfEJfE0mQ,https://api.spotify.com/v1/tracks/15DW6TwIlbl9IVfEJfE0mQ,https://api.spotify.com/v1/audio-analysis/15DW6TwIlbl9IVfEJfE0mQ,4.0,2.153,2.153,Hip-Hop/Rap,0.595,0.385,0.037,0.175,0.0,0.178,0.551,0.717
MEGALOVANIA,Toby Fox,indie game soundtrack,0.719,0.632,7.0,-9.849,1.0,0.06,0.0,0.855,0.036,0.934,119.987,audio_features,1J03Vp93ybKIxfzYI4YJtL,spotify:track:1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/tracks/1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/audio-analysis/1J03Vp93ybKIxfzYI4YJtL,4.0,2.6,4.268,Soundtrack/Score,0.737,0.632,0.062,0.0,0.861,0.947,0.508,0.715
METAMORPHOSIS,INTERWORLD,phonk brasileiro,0.593,0.641,7.0,-12.727,0.0,0.099,0.426,0.901,0.122,0.147,175.014,audio_features,2ksyzVfU0WJoBpu8otr4pz,spotify:track:2ksyzVfU0WJoBpu8otr4pz,https://api.spotify.com/v1/tracks/2ksyzVfU0WJoBpu8otr4pz,https://api.spotify.com/v1/audio-analysis/2ksyzVfU0WJoBpu8otr4pz,4.0,2.381,2.381,EDM,0.608,0.641,0.103,0.428,0.907,0.149,0.741,0.651
MIA (feat. Drake),Bad Bunny,reggaeton,0.817,0.539,6.0,-6.349,0.0,0.062,0.014,0.0,0.099,0.158,97.061,audio_features,3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/tracks/3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/audio-analysis/3Ueq2zboxwAbsvHrOjdEqz,4.0,3.506,8.784,Latin,0.837,0.539,0.064,0.014,0.0,0.16,0.411,0.792
MIDDLE OF THE NIGHT,Elley Duhé,alt z,0.41,0.611,4.0,-8.271,0.0,0.047,0.023,0.0,0.116,0.09,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,3.0,3.074,13.415,Pop,0.42,0.611,0.048,0.023,0.0,0.091,0.786,0.75
MIDNIGHT,PLAYAMANE,drift phonk,0.633,0.433,1.0,-8.833,1.0,0.229,0.005,0.28,0.145,0.373,122.088,audio_features,2WzAAerBvZvvFXgUpSwHZ9,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,https://api.spotify.com/v1/tracks/2WzAAerBvZvvFXgUpSwHZ9,https://api.spotify.com/v1/audio-analysis/2WzAAerBvZvvFXgUpSwHZ9,4.0,2.033,13.273,EDM,0.649,0.433,0.237,0.005,0.282,0.378,0.517,0.737
MISA MISA!,CORPSE,pov: indie,0.672,0.981,1.0,-1.252,1.0,0.181,0.03,0.0,0.648,0.694,95.014,audio_features,2biZJ6YK8Pz1bUby8VDV3Q,spotify:track:2biZJ6YK8Pz1bUby8VDV3Q,https://api.spotify.com/v1/tracks/2biZJ6YK8Pz1bUby8VDV3Q,https://api.spotify.com/v1/audio-analysis/2biZJ6YK8Pz1bUby8VDV3Q,4.0,1.432,3.889,Other,0.689,0.982,0.187,0.03,0.0,0.704,0.402,0.905
MJ,Lund,cloud rap,0.785,0.422,6.0,-11.88,0.0,0.053,0.492,0.045,0.095,0.552,122.035,audio_features,2IpBSXGTdHFq0Dt8zzoh5h,spotify:track:2IpBSXGTdHFq0Dt8zzoh5h,https://api.spotify.com/v1/tracks/2IpBSXGTdHFq0Dt8zzoh5h,https://api.spotify.com/v1/audio-analysis/2IpBSXGTdHFq0Dt8zzoh5h,4.0,3.016,6.033,Hip-Hop/Rap,0.804,0.422,0.055,0.494,0.046,0.56,0.517,0.67
MONEY,LISA,k-pop,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,0.0,0.152,0.396,140.026,audio_features,7hU3IHwjX150XLoTVmjD0q,spotify:track:7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/tracks/7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/audio-analysis/7hU3IHwjX150XLoTVmjD0q,4.0,2.804,2.804,Pop,0.851,0.554,0.226,0.162,0.0,0.402,0.593,0.711
MONSTERS!,LaLion,Unknown,0.736,0.616,7.0,-5.5,1.0,0.053,0.247,0.0,0.379,0.653,126.117,audio_features,5tkX48DzHmul9IlHyj0hxx,spotify:track:5tkX48DzHmul9IlHyj0hxx,https://api.spotify.com/v1/tracks/5tkX48DzHmul9IlHyj0hxx,https://api.spotify.com/v1/audio-analysis/5tkX48DzHmul9IlHyj0hxx,4.0,2.812,2.826,Unknown,0.754,0.616,0.055,0.248,0.0,0.662,0.534,0.811
MORTAL,Pharmacist,drift phonk,0.672,0.996,11.0,-1.448,1.0,0.054,0.085,0.928,0.111,0.697,174.965,audio_features,0I7I4kUnGVqoxemDmYcysN,spotify:track:0I7I4kUnGVqoxemDmYcysN,https://api.spotify.com/v1/tracks/0I7I4kUnGVqoxemDmYcysN,https://api.spotify.com/v1/audio-analysis/0I7I4kUnGVqoxemDmYcysN,4.0,2.399,2.396,EDM,0.689,0.997,0.056,0.085,0.935,0.707,0.741,0.901
MUKANJYO,Survive Said The Prophet,j-poprock,0.468,0.961,7.0,-4.082,1.0,0.114,0.004,0.0,0.226,0.31,94.926,audio_features,4MTgIH5OZQHAbdBWgbKSAb,spotify:track:4MTgIH5OZQHAbdBWgbKSAb,https://api.spotify.com/v1/tracks/4MTgIH5OZQHAbdBWgbKSAb,https://api.spotify.com/v1/audio-analysis/4MTgIH5OZQHAbdBWgbKSAb,4.0,3.207,73.153,Pop,0.48,0.962,0.118,0.004,0.0,0.314,0.402,0.843
MY TIME,Arizona Zervas,pop rap,0.622,0.527,10.0,-7.638,0.0,0.035,0.446,0.0,0.07,0.212,79.478,audio_features,0pM1oWq2iw8W0AY6ORdC0x,spotify:track:0pM1oWq2iw8W0AY6ORdC0x,https://api.spotify.com/v1/tracks/0pM1oWq2iw8W0AY6ORdC0x,https://api.spotify.com/v1/audio-analysis/0pM1oWq2iw8W0AY6ORdC0x,4.0,2.502,2.502,Pop,0.637,0.527,0.036,0.448,0.0,0.215,0.336,0.764
Ma Belle,AP Dhillon,desi hip hop,0.908,0.314,0.0,-9.614,1.0,0.116,0.042,0.0,0.073,0.244,97.011,audio_features,3D0pmiK3zyF9PudyJ8mkor,spotify:track:3D0pmiK3zyF9PudyJ8mkor,https://api.spotify.com/v1/tracks/3D0pmiK3zyF9PudyJ8mkor,https://api.spotify.com/v1/audio-analysis/3D0pmiK3zyF9PudyJ8mkor,4.0,2.68,5.033,Hip-Hop/Rap,0.93,0.314,0.12,0.043,0.0,0.247,0.411,0.72
Maahi (Lofi),JalRaj,desi pop,0.589,0.456,7.0,-9.581,0.0,0.031,0.608,0.0,0.249,0.205,75.012,audio_features,5IvV6X170dmEZCCbmNH4eQ,spotify:track:5IvV6X170dmEZCCbmNH4eQ,https://api.spotify.com/v1/tracks/5IvV6X170dmEZCCbmNH4eQ,https://api.spotify.com/v1/audio-analysis/5IvV6X170dmEZCCbmNH4eQ,4.0,3.2,3.2,Pop,0.603,0.456,0.032,0.61,0.0,0.208,0.318,0.721
Maahi Ve,Shankar-Ehsaan-Loy,filmi,0.815,0.833,7.0,-6.117,0.0,0.077,0.03,0.0,0.33,0.563,99.989,audio_features,7Czm0vv2sYL5z4P51KY66e,spotify:track:7Czm0vv2sYL5z4P51KY66e,https://api.spotify.com/v1/tracks/7Czm0vv2sYL5z4P51KY66e,https://api.spotify.com/v1/audio-analysis/7Czm0vv2sYL5z4P51KY66e,4.0,6.114,15.288,Bollywood/Indian,0.835,0.834,0.08,0.03,0.0,0.571,0.423,0.797
Maana Ke Hum Yaar Nahin,Sachin-Jigar,filmi,0.537,0.367,8.0,-9.362,1.0,0.024,0.815,0.0,0.132,0.348,90.953,audio_features,1O3WfEwaSpsgZ6tw8jNT8I,spotify:track:1O3WfEwaSpsgZ6tw8jNT8I,https://api.spotify.com/v1/tracks/1O3WfEwaSpsgZ6tw8jNT8I,https://api.spotify.com/v1/audio-analysis/1O3WfEwaSpsgZ6tw8jNT8I,4.0,4.41,0.188,Bollywood/Indian,0.55,0.367,0.025,0.818,0.0,0.353,0.385,0.725
Machine,Imagine Dragons,modern rock,0.638,0.679,4.0,-5.278,1.0,0.042,0.002,0.007,0.121,0.596,81.045,audio_features,4uGY9CqDtGtaTTLg1cgsWD,spotify:track:4uGY9CqDtGtaTTLg1cgsWD,https://api.spotify.com/v1/tracks/4uGY9CqDtGtaTTLg1cgsWD,https://api.spotify.com/v1/audio-analysis/4uGY9CqDtGtaTTLg1cgsWD,4.0,3.031,3.031,Rock/Metal,0.654,0.679,0.044,0.002,0.007,0.604,0.343,0.816
