trackname,artistname,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,duration_min,msplayed_min,major_genre,danceability_norm,energy_norm,speechiness_norm,acousticness_norm,instrumentalness_norm,valence_norm,tempo_norm,loudness_norm
"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,0.654,0.63,10.0,-4.644,1.0,0.026,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,4.0,2.795,5.659,Country,0.67,0.63,0.027,0.154,0.0,0.436,0.381,0.83
11:23,mj apanay,bedroom r&b,0.611,0.256,8.0,-11.29,1.0,0.073,0.899,0.005,0.125,0.585,123.535,audio_features,3YhAZVvU1yeGo1l6aLK0V6,spotify:track:3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/tracks/3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/audio-analysis/3YhAZVvU1yeGo1l6aLK0V6,4.0,0.967,0.967,R&B/Soul,0.626,0.255,0.076,0.903,0.005,0.593,0.523,0.683
12 Hours,Chris James,singer-songwriter pop,0.83,0.414,3.0,-7.387,1.0,0.148,0.497,0.0,0.187,0.797,87.99,audio_features,4SCCczAQXPOkM26I2gWhjt,spotify:track:4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/tracks/4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/audio-analysis/4SCCczAQXPOkM26I2gWhjt,4.0,2.219,42.188,Pop,0.85,0.414,0.153,0.499,0.0,0.808,0.373,0.769
120,OQTAN,Unknown,0.806,0.945,8.0,-1.382,1.0,0.049,0.024,0.837,0.267,0.341,119.992,audio_features,1kdEXzn5xAyzTAzimbjhT4,spotify:track:1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/tracks/1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/audio-analysis/1kdEXzn5xAyzTAzimbjhT4,4.0,1.919,1.919,Unknown,0.826,0.946,0.05,0.024,0.843,0.346,0.508,0.903
12:45 - Stripped,Etham,singer-songwriter pop,0.459,0.214,5.0,-10.66,1.0,0.04,0.634,0.0,0.125,0.397,163.816,audio_features,4edtsBlaX23OPYmhA4R0GP,spotify:track:4edtsBlaX23OPYmhA4R0GP,https://api.spotify.com/v1/tracks/4edtsBlaX23OPYmhA4R0GP,https://api.spotify.com/v1/audio-analysis/4edtsBlaX23OPYmhA4R0GP,4.0,2.984,13.26,Pop,0.47,0.213,0.042,0.637,0.0,0.403,0.694,0.697
13 Missed Calls,Zach Hood,alt z,0.639,0.724,7.0,-6.346,1.0,0.066,0.452,0.0,0.159,0.522,129.712,audio_features,6KVFBsfbnaFFa43i4k0cce,spotify:track:6KVFBsfbnaFFa43i4k0cce,https://api.spotify.com/v1/tracks/6KVFBsfbnaFFa43i4k0cce,https://api.spotify.com/v1/audio-analysis/6KVFBsfbnaFFa43i4k0cce,3.0,3.492,54.134,Pop,0.655,0.724,0.069,0.454,0.0,0.529,0.549,0.792
143,Josh Golden,la pop,0.652,0.713,6.0,-8.331,0.0,0.105,0.413,0.005,0.265,0.692,156.031,audio_features,5nx28cE13vK0gko3qjPkQK,spotify:track:5nx28cE13vK0gko3qjPkQK,https://api.spotify.com/v1/tracks/5nx28cE13vK0gko3qjPkQK,https://api.spotify.com/v1/audio-analysis/5nx28cE13vK0gko3qjPkQK,4.0,3.131,63.326,Pop,0.668,0.713,0.109,0.415,0.005,0.702,0.661,0.748
17 (slowed + reverb),Shiloh Dynasty,lo-fi chill,0.78,0.24,11.0,-12.996,1.0,0.071,0.373,0.014,0.452,0.171,140.502,audio_features,2Nbhq0jI4SR7whs7YNZEuJ,spotify:track:2Nbhq0jI4SR7whs7YNZEuJ,https://api.spotify.com/v1/tracks/2Nbhq0jI4SR7whs7YNZEuJ,https://api.spotify.com/v1/audio-analysis/2Nbhq0jI4SR7whs7YNZEuJ,4.0,3.492,4.679,Lo-Fi/Chill,0.799,0.239,0.074,0.374,0.014,0.173,0.595,0.645
18,Jeremy Zucker,alt z,0.783,0.599,4.0,-5.688,1.0,0.044,0.044,0.0,0.108,0.611,113.97,audio_features,1No2CqopteR18XVL4RJHNO,spotify:track:1No2CqopteR18XVL4RJHNO,https://api.spotify.com/v1/tracks/1No2CqopteR18XVL4RJHNO,https://api.spotify.com/v1/audio-analysis/1No2CqopteR18XVL4RJHNO,4.0,2.513,2.513,Pop,0.802,0.599,0.046,0.045,0.0,0.62,0.483,0.807
1917,Thomas Newman,orchestral soundtrack,0.081,0.016,7.0,-33.085,0.0,0.044,0.945,0.915,0.092,0.09,171.075,audio_features,6TsRPIdwASJBXanGhftVjc,spotify:track:6TsRPIdwASJBXanGhftVjc,https://api.spotify.com/v1/tracks/6TsRPIdwASJBXanGhftVjc,https://api.spotify.com/v1/audio-analysis/6TsRPIdwASJBXanGhftVjc,1.0,1.29,1.289,Classical,0.083,0.014,0.046,0.949,0.921,0.091,0.724,0.199
